cliente_id,edad,ingreso_mensual,antiguedad_bancaria,departamento,banco_principal,app_preferida,tipo_operacion_frecuente,monto_promedio_transaccion,tiene_token_fisico,tiene_token_digital,score_riesgo,fecha_registro
1001,40,14672.45,5,Cusco,BCP,Plin,Pago de Préstamos,68.24,1,0,0.2,2024-08-23 04:34:58
1002,33,50000.0,11,Trujillo,Interbank,Plin,Pago de Préstamos,315.48,0,0,0.0,2024-04-26 04:34:58
1003,42,22414.07,0,Lima,BCP,Yape,Pago de Tarjeta de Crédito,25.63,0,1,0.15,2024-01-25 04:34:58
1004,53,11072.77,4,Piura,BBVA,Web Banking,Pago de Tarjeta de Crédito,68.24,0,1,0.25,2024-02-07 04:34:58
1005,32,43653.54,4,Lima,BanBif,Plin,Pago de Préstamos,65.61,0,0,0.25,2024-10-10 04:34:58
1006,32,23457.62,0,Piura,Scotiabank,Plin,Compras Online,49.21,0,0,0.35,2024-06-16 04:34:58
1007,53,33710.41,3,Trujillo,BCP,Plin,Pago de Servicios,197.05,0,1,0.6,2024-04-30 04:34:58
1008,44,40616.43,4,Trujillo,BanBif,Banca Móvil Propia,Retiro sin Tarjeta,132.93,0,1,0.15,2024-06-09 04:34:58
1009,29,26081.4,1,Trujillo,BCP,Banca Móvil Propia,Pago de Tarjeta de Crédito,15.2,0,0,0.0,2024-01-23 04:34:58
1010,41,16381.04,1,Lima,BCP,Banca Móvil Propia,Transferencia Mismo Banco,1091.75,0,0,0.35,2024-04-15 04:34:58
1011,29,35877.18,5,Trujillo,Pichincha,Yape,Pago de Servicios,176.98,1,1,0.1,2024-04-09 04:34:58
1012,29,22034.79,3,Lima,Scotiabank,Plin,Transferencia Interbancaria,148.59,1,1,0.15,2024-01-22 04:34:58
1013,37,31036.8,9,Lima,BBVA,Lukita,Compras Online,550.11,0,0,0.15,2024-09-15 04:34:58
1014,18,7503.57,2,Lima,Interbank,Web Banking,Pago de Tarjeta de Crédito,398.96,1,1,0.2,2024-05-20 04:34:58
1015,18,27542.65,1,Lima,Interbank,Banca Móvil Propia,Retiro sin Tarjeta,110.15,1,1,0.35,2024-02-07 04:34:58
